,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,177073000.0,184852000.0,191764000.0,199497000.0
Capital Surplus,421203000.0,459698000.0,445101000.0,429376000.0
Total Liab,4621002000.0,3522676000.0,3324101000.0,3092678000.0
Total Stockholder Equity,15332378000.0,11594880000.0,10609059000.0,9879940000.0
Other Current Liab,231771000.0,207363000.0,255536000.0,196852000.0
Total Assets,19953380000.0,15117556000.0,13933160000.0,12972618000.0
Common Stock,3000.0,3000.0,3000.0,3000.0
Other Current Assets,16073000.0,16896000.0,30485000.0,15019000.0
Retained Earnings,15080854000.0,11159475000.0,10245426000.0,9268012000.0
Other Liab,3783623000.0,2760931000.0,2534982000.0,2273756000.0
Good Will,291916000.0,291916000.0,291916000.0,291916000.0
Treasury Stock,-169682000.0,-24296000.0,-81471000.0,182549000.0
Other Assets,106631000.0,99071000.0,92189000.0,86723000.0
Cash,859902000.0,732836000.0,673470000.0,662205000.0
Total Current Liabilities,649916000.0,587052000.0,609892000.0,631536000.0
Short Long Term Debt,1239000.0,1236000.0,1238000.0,1298000.0
Other Stockholder Equity,-63041000.0,125166000.0,68434000.0,282456000.0
Property Plant Equipment,680839000.0,672234000.0,678936000.0,693507000.0
Total Current Assets,2466286000.0,2289093000.0,2175317000.0,2139835000.0
Long Term Investments,16230635000.0,11580390000.0,10503038000.0,9561140000.0
Net Tangible Assets,14863389000.0,11118112000.0,10125379000.0,9388527000.0
Short Term Investments,477196000.0,428562000.0,346398000.0,328913000.0
Net Receivables,419614000.0,401207000.0,409537000.0,420824000.0
Inventory,588911000.0,598989000.0,605156000.0,622253000.0
Accounts Payable,136398000.0,133457000.0,138494000.0,139451000.0
Long Term Debt,,,1000.0,1258000.0
