,2021-09-25,2021-06-26,2021-03-27,2020-12-26
Investments,-7941000.0,-1512000.0,-16550000.0,-1214000.0
Change To Liabilities,21800000.0,-24095000.0,9182000.0,42098000.0
Total Cashflows From Investing Activities,-355050000.0,-954193000.0,-137996000.0,-88423000.0
Net Borrowings,171107000.0,518354000.0,239816000.0,-60405000.0
Total Cash From Financing Activities,178895000.0,517955000.0,194720000.0,-59229000.0
Change To Operating Activities,6200000.0,33803000.0,-6776000.0,-20392000.0
Issuance Of Stock,8016000.0,15686000.0,19612000.0,2780000.0
Net Income,103426000.0,88448000.0,61530000.0,143191000.0
Change In Cash,-985000.0,-243535000.0,237906000.0,-14304000.0
Repurchase Of Stock,-143000.0,-4269000.0,-36028000.0,-74000.0
Effect Of Exchange Rate,448000.0,6113000.0,10953000.0,-5031000.0
Total Cash From Operating Activities,174722000.0,186590000.0,170229000.0,138379000.0
Depreciation,68686000.0,68105000.0,61508000.0,60876000.0
Other Cashflows From Investing Activities,15000.0,58000.0,781000.0,127000.0
Change To Inventory,1468000.0,4297000.0,-11404000.0,-4324000.0
Change To Account Receivables,-30368000.0,-10822000.0,5598000.0,-34171000.0
Other Cashflows From Financing Activities,-85000.0,-11816000.0,-28680000.0,-1530000.0
Change To Netincome,3510000.0,26854000.0,50591000.0,-48899000.0
Capital Expenditures,-55536000.0,-46431000.0,-28030000.0,-87854000.0
