,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,302690000.0,-33759106000.0,-25320395000.0,18651132000.0
Change To Liabilities,-1645342000.0,-4578936000.0,7095834000.0,-1468379000.0
Total Cashflows From Investing Activities,-658557000.0,-34189358000.0,-7529406000.0,17827195000.0
Net Borrowings,-3792292000.0,-14338349000.0,-759623000.0,-9504173000.0
Total Cash From Financing Activities,1553785000.0,10815834000.0,2810760000.0,66759080000.0
Change To Operating Activities,-23920390000.0,-37752437000.0,-109999294000.0,-15755539000.0
Net Income,5974144000.0,6152918000.0,4754641000.0,4194080000.0
Change In Cash,-25744902000.0,-62212661000.0,-32020735000.0,60784973000.0
Repurchase Of Stock,-226449000.0,-226449000.0,-226449000.0,-226449000.0
Effect Of Exchange Rate,-1077329000.0,812884000.0,136721000.0,294192000.0
Total Cash From Operating Activities,-25562801000.0,-39652021000.0,-27438810000.0,-24095494000.0
Depreciation,891055000.0,969811000.0,2483996000.0,940852000.0
Other Cashflows From Investing Activities,103994000.0,64550000.0,22088249000.0,2290000.0
Dividends Paid,-365464000.0,-3571351000.0,-357990000.0,-358512000.0
Other Cashflows From Financing Activities,5937990000.0,28725534000.0,3928373000.0,76621765000.0
Change To Netincome,6871613000.0,-1226503000.0,82180975000.0,3898516000.0
Capital Expenditures,-335505000.0,-372423000.0,-279606000.0,-580326000.0
